indexnow-generic	api	https://api.indexnow.org/indexnow?url=https%3A%2F%2Fvanguard.world&key=074b8db50cc83f0689a2211e3ff94db1	
github-issue-8	page	https://github.com/ElReyDelUniverso-0/VANGUARD/issues/8	https://api.github.com/repos/ElReyDelUniverso-0/VANGUARD/issues/8
hedgedoc-envs	page	https://hedgedoc.envs.net/oJnCUVY-STOsqmnbBC6pTA	https://hedgedoc.envs.net/oJnCUVY-STOsqmnbBC6pTA/download
hedgedoc-nixnet	page	https://pad.nixnet.services/2zKPevkYSbmNIa74mxm62w	https://pad.nixnet.services/2zKPevkYSbmNIa74mxm62w/download
tmpfiles	page	https://tmpfiles.org/wnweE1ywK5Bo/promo-r20.txt	https://tmpfiles.org/dl/wnweE1ywK5Bo/promo-r20.txt
x0at	page	https://x0.at/SAkb.txt	https://x0.at/SAkb.txt
shrib	page	https://shrib.com/vanguard-ronda20	https://shrib.com/vanguard-ronda20?t=txt
pasters	page	https://paste.rs/oW6g5	https://paste.rs/oW6g5
hstsh	page	https://hst.sh/anosulekag	https://hst.sh/raw/anosulekag
cnets	page	https://paste.c-net.org/EmptyPaste	https://paste.c-net.org/EmptyPaste
clckru	short	https://clck.ru/3W5aqt	https://clck.ru/3W5aqt
spooshort	short	https://spoo.me/9Cxm0J	https://spoo.me/9Cxm0J
