tmpfiles.org	page	https://tmpfiles.org/wnweE1ywK5Bo/promo-r20.txt	https://tmpfiles.org/dl/wnweE1ywK5Bo/promo-r20.txt	api
catbox	fail			Invaliduploader
litterbox	fail			
x0.at	page	https://x0.at/SAkb.txt	https://x0.at/SAkb.txt	
shrib	page	https://shrib.com/vanguard-ronda20	https://shrib.com/vanguard-ronda20?t=txt	put
yip.su	fail			
qps.ru	fail			
u.to	fail			{"success":false,"error":"Unknown action","errorCode":"UNKNO
s.id	fail			{"code":405,"message":"Method Not Allowed","data":null}
frama.link	fail			<!DOCTYPE html><html lang="en"><head><meta charset="utf-8"><meta name="viewport"
github-issue	page	https://github.com/ElReyDelUniverso-0/VANGUARD/issues/8	https://github.com/ElReyDelUniverso-0/VANGUARD/issues/8	api
github-wiki	fail			remote: Repository not found.
fatal: repository 'https://github.com/ElReyDelUniverso-0/VANGUARD.wiki.git/' not found
