ghpages-mision	OK	https://elreydeluniverso-0.github.io/VANGUARD/mision-300.html
ghpages-juega	OK	https://elreydeluniverso-0.github.io/VANGUARD/juega-ya.html
gh-issue-15	OK	https://github.com/ElReyDelUniverso-0/VANGUARD/issues/15
gh-discussion-16	OK	https://github.com/ElReyDelUniverso-0/VANGUARD/discussions/16
hedgedoc-r24	OK	https://hedgedoc.envs.net/jAFdcNsbRqySXB_Se4pQ-A/download
nixnet-r24	OK	https://pad.nixnet.services/dM7WY4efQ2GLUcTitB7-pQ/download
x0at-r24	OK	https://x0.at/dzXd.txt
pasters-r24	OK	https://paste.rs/hTw4k
hstsh-r24	OK	https://hst.sh/raw/ujolasetiw
tinyurl-ronda21	OK	https://tinyurl.com/2583qkqj
tinyurl-ronda22	OK	https://tinyurl.com/28s9m4oc
tinyurl-radar	OK	https://tinyurl.com/279syyn6
tinyurl-iss	OK	https://tinyurl.com/2y8ur9p7
tinyurl-pulso	OK	https://tinyurl.com/24vmzu4u
tinyurl-mision	OK	https://tinyurl.com/293w4sp6
tinyurl-juega	OK	https://tinyurl.com/275wndxr
clck-ronda21	OK	https://clck.ru/3W5dzg
clck-ronda22	OK	https://clck.ru/3W5dzh
clck-radar	OK	https://clck.ru/3W5dzj
clck-iss	OK	https://clck.ru/3W5dzk
clck-pulso	OK	https://clck.ru/3W5dzm
clck-mision	OK	https://clck.ru/3W5dzp
clck-juega	OK	https://clck.ru/3W5dzq
spoo-ronda21	OK	https://spoo.me/VKkgDZ
spoo-ronda22	OK	https://spoo.me/9cVZT9
spoo-radar	OK	https://spoo.me/FoIBtS
spoo-iss	OK	https://spoo.me/XRXo8h
spoo-pulso	OK	https://spoo.me/ilFCsv
spoo-mision	OK	https://spoo.me/vIsCBQ
spoo-juega	OK	https://spoo.me/MYdqVQ
